Author,Article,Topic,Chair,Conference_edition,Conference_name,Reviewer1,Reviewer2,Opinion_Reviewer1,Opinion_Reviewer2,EventAssign,EventRev1,EventRev2
László G. Nyúl,A Measure of Directional Convexity Inspired by Binary Tomography.,natural language processing,Group_B,2015-141,Open Data Science Conference ,Liangliang Li,Kristoffer Høgsbro Rose,Description of Reviewer_1 for article: 8618859,Description of Reviewer_2 for article: 8618859,EventAssign_8618859,EventRev1_8618859,EventRev2_8618859
Rafael Dueire Lins,An efficient algorithm for cyclic reference counting.,big data,Group_A,2002-83,Open Data Science Conference ,Rick Raymer,Jop F. Sibeyn,Description of Reviewer_1 for article: 7764021,Description of Reviewer_2 for article: 7764021,EventAssign_7764021,EventRev1_7764021,EventRev2_7764021
Gilles Hétreux,Dynamic hybrid simulation of batch processes driven by a scheduling module.,big data,Group_C,2011-35,Women in Data Science,Kentarou Fukuda,Martin Kampel,Description of Reviewer_1 for article: 8078289,Description of Reviewer_2 for article: 8078289,EventAssign_8078289,EventRev1_8078289,EventRev2_8078289
Munchurl Kim,HEVC-Based Perceptually Adaptive Video Coding Using a DCT-Based Local Distortion Detection Probability Model.,machine learning,Group_C,2016-25,Healthcare NLP Summit 2022,Leo Gordon,Juan Miguel Medina 0002,Description of Reviewer_1 for article: 7254600,Description of Reviewer_2 for article: 7254600,EventAssign_7254600,EventRev1_7254600,EventRev2_7254600
Dirk Roos,Electricity generation in a microbial fuel cell with textile carbon fibre anodes.,big data,Group_A,2021-83.0,Open Data Science Conference ,Rui Zhang 0034,Mohammad Reza Meybodi,Description of Reviewer_1 for article: 6769871,Description of Reviewer_2 for article: 6769871,EventAssign_6769871,EventRev1_6769871,EventRev2_6769871
Dong Wang,Research on the dynamic characteristics of a 3-DOF parallel tool head.,databases,Group_C,2017-44, Gartner Data & Analytics Summit,Yue Yuan,Mohammad Ranjbar,Description of Reviewer_1 for article: 7460786,Description of Reviewer_2 for article: 7460786,EventAssign_7460786,EventRev1_7460786,EventRev2_7460786
Zhongfeng Qiu,Global Validation of MODIS C6 and C6.1 Merged Aerosol Products over Diverse Vegetated Surfaces.,Knowledge Discovery,Group_B,2018-10, Gartner Data & Analytics Summit,Xu Zhang 0005,S. Sreenadh,Description of Reviewer_1 for article: 6520847,Description of Reviewer_2 for article: 6520847,EventAssign_6520847,EventRev1_6520847,EventRev2_6520847
Munish Chauhan,Frequency-Dependent Conductivity Contrast for Tissue Characterization Using a Dual-Frequency Range Conductivity Mapping Magnetic Resonance Method.,databases,Group_B,2015-34,Women in Data Science,Yoram Bachrach,Huifeng Li,Description of Reviewer_1 for article: 7304960,Description of Reviewer_2 for article: 7304960,EventAssign_7304960,EventRev1_7304960,EventRev2_7304960
Zhenyong Zhang,Zero-Parameter-Information Data Integrity Attacks and Countermeasures in IoT-Based Smart Grid.,natural language processing,Group_A,2021-8, Gartner Data & Analytics Summit,Qilun Zhu,Jong-Moon Chung,Description of Reviewer_1 for article: 8137026,Description of Reviewer_2 for article: 8137026,EventAssign_8137026,EventRev1_8137026,EventRev2_8137026
Jean-Luc Vay,Asymmetric PML for the absorption of waves. Application to mesh refinement in electromagnetic Particle-In-Cell plasma simulations.,databases,Group_C,2004-164,Healthcare NLP Summit 2022,Michael A. Wolfe,Kumpati S. Narendra,Description of Reviewer_1 for article: 8812517,Description of Reviewer_2 for article: 8812517,EventAssign_8812517,EventRev1_8812517,EventRev2_8812517
Takashi Ikeda,Investigation of Causal Relationship Between Touch Sensations of Robots and Personality Impressions by Path Analysis.,Knowledge Discovery,Group_B,2019-11,Healthcare NLP Summit 2022,Hugues Déprés,Yasuhiko Tamura,Description of Reviewer_1 for article: 7889210,Description of Reviewer_2 for article: 7889210,EventAssign_7889210,EventRev1_7889210,EventRev2_7889210
Zhiping Wang,Synchronizable test sequence generation using UIO sequences.,big data,Group_A,1993-16,Healthcare NLP Summit 2022,Anton A. Marchenko,Md. Masud Rana 0001,Description of Reviewer_1 for article: 8541002,Description of Reviewer_2 for article: 8541002,EventAssign_8541002,EventRev1_8541002,EventRev2_8541002
James Lam,Robust H ∞ reliable control for a class of uncertain neutral delay systems.,big data,Group_A,2002-33,Healthcare NLP Summit 2022,Ángel Borrego,Maria Paola Scaparra,Description of Reviewer_1 for article: 6194808,Description of Reviewer_2 for article: 6194808,EventAssign_6194808,EventRev1_6194808,EventRev2_6194808
Nathan Linial,Covering digraphs by paths.,machine learning,Group_C,1978-23,Open Data Science Conference ,Jeroen Kuipers,Vanessa Teague,Description of Reviewer_1 for article: 8473153,Description of Reviewer_2 for article: 8473153,EventAssign_8473153,EventRev1_8473153,EventRev2_8473153
Joonsang Baek,Subversion in Practice: How to Efficiently Undermine Signatures.,natural language processing,Group_A,2019-7, Gartner Data & Analytics Summit,Sridhar Seshadri,Xiwang Zhang,Description of Reviewer_1 for article: 8403017,Description of Reviewer_2 for article: 8403017,EventAssign_8403017,EventRev1_8403017,EventRev2_8403017
Huaguang Zhang,Event-trigger-based robust control for nonlinear constrained-input systems using reinforcement learning method.,machine learning,Group_C,2019-340,Healthcare NLP Summit 2022,Harish Chandran,Jie Shen 0001,Description of Reviewer_1 for article: 8159796,Description of Reviewer_2 for article: 8159796,EventAssign_8159796,EventRev1_8159796,EventRev2_8159796
Anna Tonazzini,Digital image analysis to enhance underwritten text in the Archimedes palimpsest.,natural language processing,Group_B,2007-9,Open Data Science Conference ,Licheng Jiao,Xiaoli Li 0011,Description of Reviewer_1 for article: 7707930,Description of Reviewer_2 for article: 7707930,EventAssign_7707930,EventRev1_7707930,EventRev2_7707930
John A. A. Sillince,Extending electronic coordination mechanisms using argumentation: the case of task allocation.,Knowledge Discovery,Group_B,1998-10, Gartner Data & Analytics Summit,Jian-Sheng Fan,Evans C. Coutinho,Description of Reviewer_1 for article: 7369503,Description of Reviewer_2 for article: 7369503,EventAssign_7369503,EventRev1_7369503,EventRev2_7369503
Jianfeng Wang,Learning intents behind interactions with high-order graph for session-based intelligent recommendation.,natural language processing,Group_C,2022-42,Women in Data Science,Thomas C. Shermer,Yunfeng Ge,Description of Reviewer_1 for article: 8615235,Description of Reviewer_2 for article: 8615235,EventAssign_8615235,EventRev1_8615235,EventRev2_8615235
P. Jones,Inferring missing links in partially observed social networks.,machine learning,Group_A,2009-60,Women in Data Science,Ludek Matyska,Salem Alkhalaf,Description of Reviewer_1 for article: 6378525,Description of Reviewer_2 for article: 6378525,EventAssign_6378525,EventRev1_6378525,EventRev2_6378525
Yen-Chang Chiu,Enhanced authentication scheme with anonymity for roaming service in global mobility networks.,databases,Group_C,2009-32,Open Data Science Conference ,Matthew K. H. Leung,José M. Giménez-García,Description of Reviewer_1 for article: 8540284,Description of Reviewer_2 for article: 8540284,EventAssign_8540284,EventRev1_8540284,EventRev2_8540284
Randy Chiao,Multiresolution genetic clustering algorithm for texture segmentation.,machine learning,Group_A,2003-21, Gartner Data & Analytics Summit,Hsin-Kai Wu,Anna Lisa Ferrara,Description of Reviewer_1 for article: 6251936,Description of Reviewer_2 for article: 6251936,EventAssign_6251936,EventRev1_6251936,EventRev2_6251936
Peng Shi 0002,Approximation algorithms for restless bandit problems.,natural language processing,Group_A,2010-58,Open Data Science Conference ,Wojciech Szpankowski,Karim Nouioua,Description of Reviewer_1 for article: 7632147,Description of Reviewer_2 for article: 7632147,EventAssign_7632147,EventRev1_7632147,EventRev2_7632147
Germain Garcia,State feedback design for input-saturating quadratic systems.,databases,Group_C,2010-46,Healthcare NLP Summit 2022,B. V. Jayawant,Tadeusz Lasota,Description of Reviewer_1 for article: 6486832,Description of Reviewer_2 for article: 6486832,EventAssign_6486832,EventRev1_6486832,EventRev2_6486832
Vsevolod Bohaienko,Numerical schemes for modelling time-fractional dynamics of non-isothermal diffusion in soils.,natural language processing,Group_C,2019-157,Healthcare NLP Summit 2022,Debadatta Swain,Maia Angelova,Description of Reviewer_1 for article: 6387901,Description of Reviewer_2 for article: 6387901,EventAssign_6387901,EventRev1_6387901,EventRev2_6387901
Ana Fernández Vilas,KEPPAN: Knowledge exploitation for proactively-planned ad-hoc networks.,machine learning,Group_A,2009-32, Gartner Data & Analytics Summit,Debadatta Swain,Jun Cheng 0002,Description of Reviewer_1 for article: 7848314,Description of Reviewer_2 for article: 7848314,EventAssign_7848314,EventRev1_7848314,EventRev2_7848314
Christian Sallaberry,Évaluation de la pertinence des résultats en recherche d'information géographique. Définition d'un cadre expérimental et validation de l'apport des dimensions de l'information géographique.,machine learning,Group_C,2011-14,Open Data Science Conference ,Liusheng Huang,Tianhong Zhu,Description of Reviewer_1 for article: 7670269,Description of Reviewer_2 for article: 7670269,EventAssign_7670269,EventRev1_7670269,EventRev2_7670269
Xiwang Zhang,Spatiotemporal Comparison and Validation of Three Global-Scale Fractional Vegetation Cover Products.,databases,Group_B,2019-11, Gartner Data & Analytics Summit,Henry Cohn,Erich Strohmaier,Description of Reviewer_1 for article: 6512188,Description of Reviewer_2 for article: 6512188,EventAssign_6512188,EventRev1_6512188,EventRev2_6512188
Jan Kalina,Implicitly Weighted Methods in Robust Image Analysis.,databases,Group_C,2012-44, Gartner Data & Analytics Summit,Enrica Gentile,Harish Chandran,Description of Reviewer_1 for article: 7803846,Description of Reviewer_2 for article: 7803846,EventAssign_7803846,EventRev1_7803846,EventRev2_7803846
Joseph Cheriyan,Directed ,natural language processing,Group_A,1994-14,Healthcare NLP Summit 2022,Ernie Brickell,Giuseppe Marmo,Description of Reviewer_1 for article: 8590982,Description of Reviewer_2 for article: 8590982,EventAssign_8590982,EventRev1_8590982,EventRev2_8590982
C. Lalas,A simulation-based hybrid backwards scheduling framework for manufacturing systems.,Knowledge Discovery,Group_A,2006-19,Open Data Science Conference ,Hongwu Ma,Don Towsley,Description of Reviewer_1 for article: 8337942,Description of Reviewer_2 for article: 8337942,EventAssign_8337942,EventRev1_8337942,EventRev2_8337942
Wojciech Szpankowski,Philippe Flajolet's Research in Analysis of Algorithms and Combinatorics.,databases,Group_A,1998-22,Healthcare NLP Summit 2022,Giray Ökten,Eric Stofsky,Description of Reviewer_1 for article: 7857768,Description of Reviewer_2 for article: 7857768,EventAssign_7857768,EventRev1_7857768,EventRev2_7857768
Hong-June Park,Introduction to the Special Section on the 2018 Asian Solid-State Circuits Conference (A-SSCC).,machine learning,Group_A,2019-54,Women in Data Science,Eric Stofsky,Ernie Brickell,Description of Reviewer_1 for article: 7508404,Description of Reviewer_2 for article: 7508404,EventAssign_7508404,EventRev1_7508404,EventRev2_7508404
Anna Lisa Ferrara,Modeling A Certified Email Protocol using I/O Automata.,databases,Group_A,2004-99,Women in Data Science,Marwa Selmane,Guang R. Gao,Description of Reviewer_1 for article: 8970543,Description of Reviewer_2 for article: 8970543,EventAssign_8970543,EventRev1_8970543,EventRev2_8970543
Mengdi Gan,An Improved Mixed-Integer Programming Method to Compute Emptiable Minimal Siphons in S,Knowledge Discovery,Group_C,2018-26, Gartner Data & Analytics Summit,Wenjun Chris Zhang,Aurélien Baillon,Description of Reviewer_1 for article: 7261941,Description of Reviewer_2 for article: 7261941,EventAssign_7261941,EventRev1_7261941,EventRev2_7261941
Georgios M. Santipantakis,Decomposing Ontologies for the Construction of Distributed Knowledge Bases: The ,natural language processing,Group_B,2015-24,Open Data Science Conference ,Dov M. Gabbay,Joonsang Baek,Description of Reviewer_1 for article: 8119476,Description of Reviewer_2 for article: 8119476,EventAssign_8119476,EventRev1_8119476,EventRev2_8119476
Naichao Wang,A condition-based maintenance model considering multiple maintenance effects on the dependent failure processes.,machine learning,Group_C,2022-220,Healthcare NLP Summit 2022,Eugene Krissinel,Ana Fernández Vilas,Description of Reviewer_1 for article: 6788130,Description of Reviewer_2 for article: 6788130,EventAssign_6788130,EventRev1_6788130,EventRev2_6788130
Jian-Sheng Fan,Automated crack assessment and quantitative growth monitoring.,natural language processing,Group_B,2021-36,Healthcare NLP Summit 2022,Håkon Tjelmeland,Ricardo García-Ródenas,Description of Reviewer_1 for article: 7262485,Description of Reviewer_2 for article: 7262485,EventAssign_7262485,EventRev1_7262485,EventRev2_7262485
Saumya K. Debray,Automatic Mode Inference for Logic Programs.,natural language processing,Group_B,1988-5,Open Data Science Conference ,Nebojsa Jojic,Wenjun Chris Zhang,Description of Reviewer_1 for article: 6638355,Description of Reviewer_2 for article: 6638355,EventAssign_6638355,EventRev1_6638355,EventRev2_6638355
Zhenhua Guo 0001,Binary Filter for Fast Vessel Pattern Extraction.,natural language processing,Group_C,2019-49, Gartner Data & Analytics Summit,Naichao Wang,Breno Augusto De Melo Menezes,Description of Reviewer_1 for article: 7913678,Description of Reviewer_2 for article: 7913678,EventAssign_7913678,EventRev1_7913678,EventRev2_7913678
Gordon E. Bromage,"""Certification of """"Algorithm 475: Visible Surface Plotting Program [J6]"""".""",machine learning,Group_C,1975-1,Women in Data Science,Xiwang Zhang,Guang R. Gao,Description of Reviewer_1 for article: 8395873,Description of Reviewer_2 for article: 8395873,EventAssign_8395873,EventRev1_8395873,EventRev2_8395873
Laurent Gosse,Aliasing and two-dimensional well-balanced for drift-diffusion equations on square grids.,databases,Group_C,2020-89,Open Data Science Conference ,Kang Gu,Dirk Roose,Description of Reviewer_1 for article: 6372008,Description of Reviewer_2 for article: 6372008,EventAssign_6372008,EventRev1_6372008,EventRev2_6372008
Dansheng Yu,Pointwise and global estimate for approximation by rational functions with prescribed numerator degree.,machine learning,Group_A,2010-162, Gartner Data & Analytics Summit,Joseph Cheriyan,Fan Zhang 0008,Description of Reviewer_1 for article: 8387814,Description of Reviewer_2 for article: 8387814,EventAssign_8387814,EventRev1_8387814,EventRev2_8387814
Don Towsley,On the scalability of P2P swarming systems.,databases,Group_C,2019-151,Healthcare NLP Summit 2022,Jong-Moon Chung,Ping Yan,Description of Reviewer_1 for article: 7294766,Description of Reviewer_2 for article: 7294766,EventAssign_7294766,EventRev1_7294766,EventRev2_7294766
R. S. Ahluwalia,Sensor-based obstruction avoidance technique for a mobile robot.,Knowledge Discovery,Group_A,1984-1,Healthcare NLP Summit 2022,Yiyu Yao,József Solymosi,Description of Reviewer_1 for article: 8021541,Description of Reviewer_2 for article: 8021541,EventAssign_8021541,EventRev1_8021541,EventRev2_8021541
Jianbin Qiu,Reliable fuzzy output feedback control of nonlinear parabolic distributed parameter systems with sensor faults.,databases,Group_A,2015-29,Healthcare NLP Summit 2022,Marinella Bertolotti,Gary Gordon,Description of Reviewer_1 for article: 8611475,Description of Reviewer_2 for article: 8611475,EventAssign_8611475,EventRev1_8611475,EventRev2_8611475
Isaac Harris,Approximation of the Zero-Index Transmission Eigenvalues with a Conductive Boundary and Parameter Estimation.,Knowledge Discovery,Group_C,2020-82,Open Data Science Conference ,Xiangyu Y. Hu,Ellen E. Eischen,Description of Reviewer_1 for article: 8860861,Description of Reviewer_2 for article: 8860861,EventAssign_8860861,EventRev1_8860861,EventRev2_8860861
Abdeldjalil Slama,A Bayesian analysis of a change in the parameters of autoregressive time series.,natural language processing,Group_C,2017-46,Open Data Science Conference ,Akira Hirose,Hsu-Hao Tsai,Description of Reviewer_1 for article: 6220699,Description of Reviewer_2 for article: 6220699,EventAssign_6220699,EventRev1_6220699,EventRev2_6220699
Antoine Bossard,Node-to-set disjoint paths routing in a metacube.,natural language processing,Group_B,2015-8, Gartner Data & Analytics Summit,Tsui-Tsai Lin,Ismat Beg,Description of Reviewer_1 for article: 8598118,Description of Reviewer_2 for article: 8598118,EventAssign_8598118,EventRev1_8598118,EventRev2_8598118
Luca Foschini 0001,Measuring the impact of COVID-19 restrictions on mobility: A real case study from Italy.,natural language processing,Group_C,2021-23,Open Data Science Conference ,P. Friderichsen,Arindam Sarkar,Description of Reviewer_1 for article: 7379001,Description of Reviewer_2 for article: 7379001,EventAssign_7379001,EventRev1_7379001,EventRev2_7379001
Raúl Guinovart-Díaz,Temperature-related effective properties and exact relations for thermo-magneto-electro-elastic fibrous composites.,Knowledge Discovery,Group_B,2015-69.0,Healthcare NLP Summit 2022,A. Frank van der Stappen,Mehmet Ekmekci,Description of Reviewer_1 for article: 6769415,Description of Reviewer_2 for article: 6769415,EventAssign_6769415,EventRev1_6769415,EventRev2_6769415
Sharad Acharya,Mobile Payments in Emerging Markets.,machine learning,Group_C,2012-14,Women in Data Science,Igor S. Pandzic,Tadeusz Lasota,Description of Reviewer_1 for article: 7589141,Description of Reviewer_2 for article: 7589141,EventAssign_7589141,EventRev1_7589141,EventRev2_7589141
Jeroen Kuipers,Subgame Perfection in Positive Recursive Games with Perfect Information.,databases,Group_C,2010-35,Women in Data Science,Marian Gheorghe 0001,Dong Wang,Description of Reviewer_1 for article: 7844645,Description of Reviewer_2 for article: 7844645,EventAssign_7844645,EventRev1_7844645,EventRev2_7844645
D. K. R. Babajee,An improvement to double-step Newton method and its multi-step version for solving system of nonlinear equations and its applications.,Knowledge Discovery,Group_B,2017-74,Women in Data Science,Licheng Jiao,Enrica Gentile,Description of Reviewer_1 for article: 6499578,Description of Reviewer_2 for article: 6499578,EventAssign_6499578,EventRev1_6499578,EventRev2_6499578
Ángel Borrego,The impact of MOOCs on library and information science education.,natural language processing,Group_A,2019-35,Women in Data Science,Sridhar Seshadri,Michael A. Wolfe,Description of Reviewer_1 for article: 8840926,Description of Reviewer_2 for article: 8840926,EventAssign_8840926,EventRev1_8840926,EventRev2_8840926
Andrew J. Bernoff,Education.,natural language processing,Group_B,2008-50,Open Data Science Conference ,Ji Hwan Cha,Mitsuru Kodama,Description of Reviewer_1 for article: 8914005,Description of Reviewer_2 for article: 8914005,EventAssign_8914005,EventRev1_8914005,EventRev2_8914005
Lukas Lanza,Internal dynamics of multibody systems.,machine learning,Group_A,2021-152,Women in Data Science,I-Wen Mike Chu,Enrica Gentile,Description of Reviewer_1 for article: 6162307,Description of Reviewer_2 for article: 6162307,EventAssign_6162307,EventRev1_6162307,EventRev2_6162307
Kent Myers,Autonomous FEs (AFE) - A stride toward personalized medicine.,natural language processing,Group_C,2020-80.0,Women in Data Science,Yipin Sun,Nguyen T. Thanh,Description of Reviewer_1 for article: 6772585,Description of Reviewer_2 for article: 6772585,EventAssign_6772585,EventRev1_6772585,EventRev2_6772585
Na Wang,What is New about the Internet Delay Space?,Knowledge Discovery,Group_C,2014-6,Women in Data Science,Lirong Liu,Dirk Roose,Description of Reviewer_1 for article: 8559029,Description of Reviewer_2 for article: 8559029,EventAssign_8559029,EventRev1_8559029,EventRev2_8559029
Nguyen T. Thanh,Full-Order observer design for nonlinear complex large-scale systems with unknown time-varying delayed interactions.,machine learning,Group_C,2015-21,Healthcare NLP Summit 2022,Debadatta Swain,Dénes Szücs,Description of Reviewer_1 for article: 6384510,Description of Reviewer_2 for article: 6384510,EventAssign_6384510,EventRev1_6384510,EventRev2_6384510
Alessio Di Simone,Sensitivity Analysis of the Scattering-Based SARBM3D Despeckling Algorithm.,databases,Group_C,2016-16, Gartner Data & Analytics Summit,Hongwu Ma,Xin Feng,Description of Reviewer_1 for article: 7429225,Description of Reviewer_2 for article: 7429225,EventAssign_7429225,EventRev1_7429225,EventRev2_7429225
Katsutoshi Yada,Mining Pharmacy Data Helps to Make Profits.,big data,Group_C,1998-2,Healthcare NLP Summit 2022,Yen-Chang Chiu,Michael N. Vrahatis,Description of Reviewer_1 for article: 7660007,Description of Reviewer_2 for article: 7660007,EventAssign_7660007,EventRev1_7660007,EventRev2_7660007
Maria Letizia Corradini,On the adoption of a fractional-order sliding surface for the robust control of integer-order LTI plants.,natural language processing,Group_C,2015-51,Healthcare NLP Summit 2022,Huan Liu 0001,Ellen E. Eischen,Description of Reviewer_1 for article: 6488538,Description of Reviewer_2 for article: 6488538,EventAssign_6488538,EventRev1_6488538,EventRev2_6488538
Butje Eddy Patuwo,Artificial neural networks in bankruptcy prediction: General framework and cross-validation analysis.,databases,Group_C,1999-116,Women in Data Science,Qilun Zhu,Michael C. Wicks,Description of Reviewer_1 for article: 6656470,Description of Reviewer_2 for article: 6656470,EventAssign_6656470,EventRev1_6656470,EventRev2_6656470
Lifeng Lai,On Channel Selection for Carrier Aggregation Systems.,big data,Group_A,2018-66,Women in Data Science,Mohammad Nazir Ahmad,Colin Tattersall,Description of Reviewer_1 for article: 8504970,Description of Reviewer_2 for article: 8504970,EventAssign_8504970,EventRev1_8504970,EventRev2_8504970
James H. Clark 0001,Designing Surfaces in 3-D.,Knowledge Discovery,Group_C,1976-19,Open Data Science Conference ,Hans P. Künzi,Sergey Poslavskiy,Description of Reviewer_1 for article: 7817837,Description of Reviewer_2 for article: 7817837,EventAssign_7817837,EventRev1_7817837,EventRev2_7817837
Daniele Cesarini,Improving Resilience to Timing Errors by Exposing Variability Effects to Software in Tightly-Coupled Processor Clusters.,Knowledge Discovery,Group_C,2014-4,Healthcare NLP Summit 2022,José M. Giménez-García,Sudipta Mahapatra,Description of Reviewer_1 for article: 7486834,Description of Reviewer_2 for article: 7486834,EventAssign_7486834,EventRev1_7486834,EventRev2_7486834
Kok Lay Teo,A Hybrid Descent Method for Global Optimization.,natural language processing,Group_C,2004-28,Healthcare NLP Summit 2022,Jerzy Konorski,Matthew K. H. Leung,Description of Reviewer_1 for article: 7726236,Description of Reviewer_2 for article: 7726236,EventAssign_7726236,EventRev1_7726236,EventRev2_7726236
Sangheon Pack,Performance Optimization of Delayed WiFi Offloading in Heterogeneous Networks.,databases,Group_B,2017-66, Gartner Data & Analytics Summit,K. Hopper,Yue Yuan,Description of Reviewer_1 for article: 8308028,Description of Reviewer_2 for article: 8308028,EventAssign_8308028,EventRev1_8308028,EventRev2_8308028
H. Dakhlaoui,Spin-dependent transmission of holes in III-V diluted magnetic semiconductor based heterostructure.,big data,Group_A,2006-37, Gartner Data & Analytics Summit,William Rundell,Michael N. Vrahatis,Description of Reviewer_1 for article: 7917910,Description of Reviewer_2 for article: 7917910,EventAssign_7917910,EventRev1_7917910,EventRev2_7917910
Amar Ramudhin,A review of priority criteria and decision-making methods applied in selection of sustainable city logistics initiatives and collaboration partners.,Knowledge Discovery,Group_A,2019-57,Women in Data Science,Mukesh Kumar,Yaonan Wang,Description of Reviewer_1 for article: 6185737,Description of Reviewer_2 for article: 6185737,EventAssign_6185737,EventRev1_6185737,EventRev2_6185737
Wenjun Chris Zhang,A Novel Resilient Robot: Kinematic Analysis and Experimentation.,machine learning,Group_B,2020-8,Healthcare NLP Summit 2022,Kwabena A. Narh,Caishun Li,Description of Reviewer_1 for article: 8431352,Description of Reviewer_2 for article: 8431352,EventAssign_8431352,EventRev1_8431352,EventRev2_8431352
Fred S. Annexstein,On Testing Consecutive-ones Property in Parallel.,natural language processing,Group_B,1998-88,Open Data Science Conference ,Chi-Wang Shu,Mohan Krishnamoorthy,Description of Reviewer_1 for article: 6454089,Description of Reviewer_2 for article: 6454089,EventAssign_6454089,EventRev1_6454089,EventRev2_6454089
James Slevinsky,Next-Generation Video Network Design Tenets: Building a Better Video Delivery Service.,big data,Group_B,2019-8,Open Data Science Conference ,Satish Chand,Satish Chand,Description of Reviewer_1 for article: 8755812,Description of Reviewer_2 for article: 8755812,EventAssign_8755812,EventRev1_8755812,EventRev2_8755812
Juan Miguel Medina 0002,On the Papoulis Sampling Theorem: Some General Conditions.,machine learning,Group_B,2018-64, Gartner Data & Analytics Summit,N. Kanagaraj,Patrick Gallinari,Description of Reviewer_1 for article: 7600868,Description of Reviewer_2 for article: 7600868,EventAssign_7600868,EventRev1_7600868,EventRev2_7600868
Paul Cotter,A personalised TV listings service for the digital TV age.,big data,Group_C,2000-13, Gartner Data & Analytics Summit,Michael Thomas,Bryan Houliston,Description of Reviewer_1 for article: 7368574,Description of Reviewer_2 for article: 7368574,EventAssign_7368574,EventRev1_7368574,EventRev2_7368574
Jan van den Berg,A hybrid customer prediction system based on multiple forward stepwise logistic regression mode.,big data,Group_C,2012-16, Gartner Data & Analytics Summit,Ruyi Dong,Michael Thomas,Description of Reviewer_1 for article: 8002644,Description of Reviewer_2 for article: 8002644,EventAssign_8002644,EventRev1_8002644,EventRev2_8002644
Chin-Shang Li,A Partially Linear Model with Its Applications.,databases,Group_B,2013-42,Women in Data Science,Huaguang Zhang,I. R. Wilson,Description of Reviewer_1 for article: 6221385,Description of Reviewer_2 for article: 6221385,EventAssign_6221385,EventRev1_6221385,EventRev2_6221385
Mamta Rani,Control of Dynamic Noise in Transcendental Julia and Mandelbrot Sets by Superior Iteration Method.,natural language processing,Group_B,2018-7,Healthcare NLP Summit 2022,Shi-Ming Huang,Jeffrey E. Schaller,Description of Reviewer_1 for article: 6442885,Description of Reviewer_2 for article: 6442885,EventAssign_6442885,EventRev1_6442885,EventRev2_6442885
Xu Zhang 0005,Various Shadowing in Linear Dynamical Systems.,machine learning,Group_B,2019-29,Open Data Science Conference ,Mitsuru Kodama,Jianbin Qiu,Description of Reviewer_1 for article: 8890953,Description of Reviewer_2 for article: 8890953,EventAssign_8890953,EventRev1_8890953,EventRev2_8890953
Qiang Ji,Content-Based Video Emotion Tagging Augmented by Users' Multiple Physiological Responses.,databases,Group_A,2019-10,Women in Data Science,Alireza Tavakkoli,C. Lalas,Description of Reviewer_1 for article: 6312613,Description of Reviewer_2 for article: 6312613,EventAssign_6312613,EventRev1_6312613,EventRev2_6312613
Hiroshi Imai,Generating facets for the cut polytope of a graph by triangular elimination.,databases,Group_B,2008-112,Open Data Science Conference ,Jop F. Sibeyn,Cory Andrew Henson,Description of Reviewer_1 for article: 7681921,Description of Reviewer_2 for article: 7681921,EventAssign_7681921,EventRev1_7681921,EventRev2_7681921
Alia Asheralieva,Joint power and bandwidth allocation in IEEE802.22 based cognitive LTE network.,Knowledge Discovery,Group_A,2014-71, Gartner Data & Analytics Summit,Karen J. Mullinger,Mukesh Kumar,Description of Reviewer_1 for article: 7295935,Description of Reviewer_2 for article: 7295935,EventAssign_7295935,EventRev1_7295935,EventRev2_7295935
Robert Hartung,Towards Accurate Bit Error Simulation in Wireless Sensor Networks Including Environmental Influences.,machine learning,Group_A,2020-35,Healthcare NLP Summit 2022,Mitsuru Kodama,Chao-Yang Du,Description of Reviewer_1 for article: 6479039,Description of Reviewer_2 for article: 6479039,EventAssign_6479039,EventRev1_6479039,EventRev2_6479039
Karen J. Mullinger,The relationship between negative BOLD responses and ERS and ERD of alpha/beta oscillations in visual and motor cortex.,Knowledge Discovery,Group_B,2019-199,Women in Data Science,Lei Yu 0006,Robert Fitch,Description of Reviewer_1 for article: 8648531,Description of Reviewer_2 for article: 8648531,EventAssign_8648531,EventRev1_8648531,EventRev2_8648531
Yotam I. Gingold,Hyperspectral Inverse Skinning.,natural language processing,Group_A,2020-39,Women in Data Science,Lars Grüne,Sudipta Mahapatra,Description of Reviewer_1 for article: 7539532,Description of Reviewer_2 for article: 7539532,EventAssign_7539532,EventRev1_7539532,EventRev2_7539532
Greg Restall,How to be ,machine learning,Group_C,1993-52,Healthcare NLP Summit 2022,Anna Tonazzini,Xin Feng,Description of Reviewer_1 for article: 8225010,Description of Reviewer_2 for article: 8225010,EventAssign_8225010,EventRev1_8225010,EventRev2_8225010
V. A. Koshelev,On Erdos-Szekeres-type problems.,machine learning,Group_B,2009-34, Gartner Data & Analytics Summit,Lirong Liu,Nathan Linial,Description of Reviewer_1 for article: 7835066,Description of Reviewer_2 for article: 7835066,EventAssign_7835066,EventRev1_7835066,EventRev2_7835066
José M. Giménez-García,MapReduce-based Solutions for Scalable SPARQL Querying.,machine learning,Group_B,2014-1,Healthcare NLP Summit 2022,Xiangyu Y. Hu,Sridhar Seshadri,Description of Reviewer_1 for article: 6641001,Description of Reviewer_2 for article: 6641001,EventAssign_6641001,EventRev1_6641001,EventRev2_6641001
